Timestamp,Noureddine_Rojbani_TS01_solar_radiation,Noureddine_Rojbani_TS01_wind_direction,Noureddine_Rojbani_TS01_air_humidity,Noureddine_Rojbani_TS01_wind_speed,Noureddine_Rojbani_TS01_temperature
2024-10-21T06:30:00,1,144.5,78.1,0.05,15.3
2024-10-21T07:00:00,1,147.2,80.3,0.26,15.1
2024-10-21T07:30:00,1,228,79.3,0.43,15.7
2024-10-21T08:00:00,1,222.1,78.1,0.56,15.9
2024-10-21T08:30:00,4,293.7,81.1,0.2,15.3
2024-10-21T09:00:00,31,324.5,82.7,0.05,15.5
2024-10-21T09:30:00,85,95.2,79,0.18,16.7
2024-10-21T10:00:00,110,359.1,76.6,0.44,18.4
2024-10-21T10:30:00,184,331.6,69.6,0.42,20.1
2024-10-21T11:00:00,351,42.1,66.6,0.57,21.6
2024-10-21T11:30:00,147,145.6,64.4,0.7,22.6
2024-10-21T12:00:00,87,279.6,65.3,0.1,22.4
2024-10-21T12:30:00,12,1.8,66.9,0.39,22.1
2024-10-21T13:00:00,18,5.1,90.7,0.45,19.1
2024-10-21T13:30:00,16,132.2,93.1,0.16,19
2024-10-21T14:00:00,71,31.8,94,1.26,18.1
2024-10-21T14:30:00,171,42.1,95.5,0.34,18.4
2024-10-21T15:00:00,63,352.8,95.5,0.64,18
2024-10-21T15:30:00,40,3.7,96.1,0.84,17.7
2024-10-21T16:00:00,41,282.4,96.5,0.36,17.9
2024-10-21T16:30:00,119,5.2,97,0.45,18
2024-10-21T17:00:00,86,345.6,97.3,1.3,18.1
2024-10-21T17:30:00,54,350.5,97.4,1.01,18.2
2024-10-21T18:00:00,63,325.6,97.6,0.69,18.1
2024-10-21T18:30:00,33,32.6,97.7,0.69,18.4
2024-10-21T19:00:00,10,352.7,97.5,0.21,18.1
2024-10-21T19:30:00,7,6.9,95.5,0.11,16.8
2024-10-21T20:00:00,0,357.1,94,0.97,16.8
2024-10-21T20:30:00,0,5.3,94.5,0.45,16.9
2024-10-21T21:00:00,0,68.7,95,0.16,17
2024-10-21T21:30:00,0,42.1,95.1,0.34,17.2
2024-10-21T22:00:00,0,25,94.5,1.49,17.4
2024-10-21T22:30:00,0,327.3,94.4,0.26,17.7
2024-10-21T23:00:00,0,305.1,94.1,0.37,18.2
2024-10-21T23:30:00,0,333.4,94.3,0.57,18.3
2024-10-22T00:00:00,0,57.2,94.5,0.05,18.4
2024-10-22T00:30:00,0,316.9,94.7,0.27,18.5
2024-10-22T01:00:00,0,330.5,95.4,1.1,18.6
2024-10-22T01:30:00,0,328.3,96.3,1.16,18.6
2024-10-22T02:00:00,0,208.8,96.7,0.38,18.8
2024-10-22T02:30:00,0,5.2,96.9,0.05,19
2024-10-22T03:30:00,0,331.5,97.5,0.42,19.3
2024-10-22T04:00:00,0,82.7,97.9,0.21,19.6
2024-10-22T04:30:00,0,23.7,98.2,0.21,19.8
2024-10-22T05:00:00,0,23.5,98.6,0.56,19.9
2024-10-22T05:30:00,1,35.8,99.1,0.86,20.3
2024-10-22T06:00:00,0,192.3,99.4,0.56,20.4
2024-10-22T06:30:00,0,37.7,99.6,0.3,20.5
2024-10-22T07:00:00,0,254.9,99.4,0.93,19.6
2024-10-22T07:30:00,0,113.8,99.1,0.11,19.6
2024-10-22T08:00:00,0,345.8,96.8,1.67,18.8
2024-10-22T08:30:00,1,300.8,95.3,4.01,18.2
2024-10-22T09:00:00,15,20,96,2.9,18.4
2024-10-22T09:30:00,27,318.7,96.4,0.6,18.8
2024-10-22T10:00:00,32,2.5,95.2,1.01,19.2
2024-10-22T10:30:00,57,314.7,94.2,0.5,19.6
2024-10-22T11:00:00,122,346.2,93,0.79,19.8
2024-10-22T11:30:00,92,312,87.8,3.34,20.1
2024-10-22T12:00:00,210,327.1,87,2.89,20.4
2024-10-22T12:30:00,88,343.3,87.6,0.62,20.7
2024-10-22T13:00:00,251,23.5,88.5,0.16,21.3
2024-10-22T13:30:00,196,349.9,88,0.53,21.8
2024-10-22T14:00:00,160,323.2,87.3,0.98,21.9
2024-10-22T14:30:00,233,306.3,87.5,0.68,22.3
2024-10-22T15:00:00,251,326.2,87,0.48,22.8
2024-10-22T15:30:00,137,349.1,80.2,0.59,23.2
2024-10-22T16:00:00,174,93.3,84.2,0.62,22.7
2024-10-22T16:30:00,192,34.1,80.8,2.02,23.2
2024-10-22T17:00:00,177,304.9,73.9,1.32,23.3
2024-10-22T17:30:00,436,335,66.6,0.84,23.9
2024-10-22T18:00:00,77,293.8,67.9,1.34,23.7
