"TIME";"Date";"Hour";"Hourly irrigation requirements (m3)";"Suggested Soil Moisture (%)";"Irrigation Suggested (m3)";"Irrigation Limit (m3)"
2024-10-13 21:00:00;"2024-10-13";21;34.0423537993089;10.1146708138932;0;0
2024-10-13 22:00:00;"2024-10-13";22;34.0480563749604;10.1135303265941;0;0
2024-10-13 23:00:00;"2024-10-13";23;34.0464121089466;10.1122861586314;0;0
2024-10-14 00:00:00;"2024-10-14";0;34.0523474378494;10.1111456713323;0;0
2024-10-14 01:00:00;"2024-10-14";1;34.0510543710786;10.1099015033696;0;0
2024-10-14 02:00:00;"2024-10-14";2;34.0498785185764;10.1088646967341;0;0
2024-10-14 03:00:00;"2024-10-14";3;34.0560467584782;10.1076205287714;0;0
2024-10-14 04:00:00;"2024-10-14";4;34.055105384826;10.1064800414723;0;0
2024-10-14 05:00:00;"2024-10-14";5;34.0615078129467;10.1054432348367;0;0
2024-10-14 06:00:00;"2024-10-14";6;34.0605658241988;10.1043027475376;0;0
2024-10-14 07:00:00;"2024-10-14";7;34.0669672307384;10.1031622602385;0;0
2024-10-14 08:00:00;"2024-10-14";8;34.0662602967829;10.1019180922758;0;0
2024-10-14 09:00:00;"2024-10-14";9;34.072778665027;10.1008812856402;0;0
2024-10-14 10:00:00;"2024-10-14";10;27.4048039093494;10.1000518403318;6;6
2024-10-14 11:00:00;"2024-10-14";11;34.0728965433977;10.1000518403318;0;0
2024-10-14 12:00:00;"2024-10-14";12;34.0745465018609;10.1010886469673;0;0
2024-10-14 13:00:00;"2024-10-14";13;34.0694405858915;10.1027475375842;0;0
2024-10-14 14:00:00;"2024-10-14";14;34.0648031512422;10.1049248315189;0;0
2024-10-14 15:00:00;"2024-10-14";15;34.0601628490912;10.1073094867807;0;0
2024-10-14 16:00:00;"2024-10-14";16;34.0552847818687;10.109590461379;0;0
2024-10-14 17:00:00;"2024-10-14";17;34.0497000129039;10.111456713323;0;0
2024-10-14 18:00:00;"2024-10-14";18;32.941557167726;10.1130119232763;1;1
2024-10-14 19:00:00;"2024-10-14";19;34.0506389527914;10.1132192846034;0;0
2024-10-14 20:00:00;"2024-10-14";20;34.0498173915943;10.1129082426128;0;0
2024-10-14 21:00:00;"2024-10-14";21;34.0485260498679;10.112389839295;0;0
2024-10-14 22:00:00;"2024-10-14";22;34.0471168713204;10.1113530326594;0;0
2024-10-14 23:00:00;"2024-10-14";23;34.0531700962779;10.110523587351;0;0
2024-10-15 00:00:00;"2024-10-15";0;34.0518772767036;10.1093831000518;0;0
2024-10-15 01:00:00;"2024-10-15";1;34.0580464941121;10.1083462934163;0;0
2024-10-15 02:00:00;"2024-10-15";2;34.0572231860739;10.1076205287714;0;0
2024-10-15 03:00:00;"2024-10-15";3;34.0631557974114;10.1061689994816;0;0
2024-10-15 04:00:00;"2024-10-15";4;34.062567303952;10.1054432348367;0;0
2024-10-15 05:00:00;"2024-10-15";5;34.0617432779285;10.1044064282011;0;0
2024-10-15 06:00:00;"2024-10-15";6;34.0682629749242;10.1034733022291;0;0
2024-10-15 07:00:00;"2024-10-15";7;34.0675562537109;10.1026438569207;0;0
2024-10-15 08:00:00;"2024-10-15";8;34.0668494164732;10.1016070502851;0;0
2024-10-15 09:00:00;"2024-10-15";9;34.0734858868533;10.1006739243131;34.0734858868533;34.0734858868533
