date,hurs_CMCC-CM2-SR5,hurs_CNRM-ESM2-1,hurs_EC-Earth3-Veg,hurs_IPSL-CM6A-LR,hurs_MIROC6,hurs_MPI-ESM1-2-HR,hurs_NorESM2-MM,hurs_UKESM1-0-LL,pr_CESM2,pr_CMCC-CM2-SR5,pr_CNRM-ESM2-1,pr_EC-Earth3-Veg,pr_IPSL-CM6A-LR,pr_MIROC6,pr_MPI-ESM1-2-HR,pr_NorESM2-MM,pr_UKESM1-0-LL,tasmax_CNRM-ESM2-1,tasmax_EC-Earth3-Veg,tasmax_IPSL-CM6A-LR,tasmax_MIROC6,tasmax_MPI-ESM1-2-HR,tasmax_NorESM2-MM,tasmax_UKESM1-0-LL,tasmin_CNRM-ESM2-1,tasmin_EC-Earth3-Veg,tasmin_IPSL-CM6A-LR,tasmin_MIROC6,tasmin_MPI-ESM1-2-HR,tasmin_NorESM2-MM,tasmin_UKESM1-0-LL
1991-02-08,43.0112,61.9091,82.6546,73.7782,75.3066,77.6128,68.7662,80.2351,1.30381,-2.77556e-14,-2.77556e-14,2.64385,0.25768,1.60159,7.79169,14.2273,7.33086,19.1941,12.7967,18.8113,16.8197,12.8056,12.9332,15.1675,9.43708,6.01431,7.29999,6.70275,6.7406,7.78527,10.4962
1991-02-09,40.3634,69.3786,80.6644,65.2078,77.0883,73.8914,67.8145,88.1661,4.75668,-2.77556e-14,11.3603,0.344158,-2.77556e-14,3.47129,4.67628,2.24859,14.7242,14.0392,13.2022,20.8026,16.2286,12.5243,12.2188,14.102,6.5474,8.90009,10.024,9.46473,6.86404,6.54143,8.51889
1991-02-10,46.0563,79.1221,79.509,58.4871,83.2613,82.0728,74.5513,78.7579,8.72673,-2.77556e-14,3.53968,0.06359,-2.77556e-14,-2.77556e-14,9.34203,16.1876,6.77109,14.0549,15.2511,21.8162,17.9696,12.3229,12.2095,13.8131,6.93095,5.95336,10.5848,8.4317,5.7442,4.6512,8.352
1991-02-11,52.5138,66.4906,80.2515,55.5404,60.1018,83.578,74.3116,62.5176,31.3514,-2.77556e-14,-2.77556e-14,-2.77556e-14,-2.77556e-14,-2.77556e-14,9.73277,14.3699,0.131847,17.0614,17.1784,22.49,20.9432,9.28593,9.49897,14.7695,6.2948,6.35958,11.2312,9.34998,4.49409,2.98828,6.01401
1991-02-12,61.3297,62.2273,88.8007,61.1629,52.1203,82.3731,74.0772,55.0299,10.0905,-2.77556e-14,-2.77556e-14,4.26285,-2.77556e-14,-2.77556e-14,7.81471,2.18274,-2.77556e-14,18.5527,14.1418,23.6245,23.6359,9.81638,12.5466,17.0999,5.70212,9.27976,11.2713,10.6715,4.44364,5.44518,5.22925
1991-02-13,51.7762,63.9365,79.8624,62.3092,51.4261,85.5504,66.6305,62.8909,6.81708,-2.77556e-14,-2.77556e-14,0.258262,-2.77556e-14,-2.77556e-14,9.94397,0.00759297,7.62336,19.3503,15.8298,25.854,23.9319,8.15551,15.9616,16.8095,7.38317,6.26269,14.2641,11.4403,2.21815,4.56946,8.74298
1991-02-14,56.4185,65.1371,68.5458,62.9989,54.5359,90.4938,60.6468,83.3214,0.071192,0.00775305,0.0227789,0.42911,-2.77556e-14,-2.77556e-14,11.6903,0.761052,11.3366,18.8687,16.8267,24.8046,23.3918,8.27941,18.3431,13.0185,10.1858,8.29989,13.3691,10.6115,2.13711,6.12377,6.86042
1991-02-15,61.1728,65.2414,62.9091,52.2829,63.8291,83.105,65.0582,84.5447,0.00759297,0.168096,-2.77556e-14,-2.77556e-14,-2.77556e-14,0.140247,3.40211,-2.77556e-14,5.15058,21.4114,19.1463,26.3801,22.5018,9.99116,18.8639,15.1533,10.8954,6.44513,14.3568,9.18326,4.55473,6.94149,8.60101
1991-02-16,57.3406,63.6466,51.4868,74.0594,65.7596,87.7992,54.2411,72.5106,-2.77556e-14,-2.77556e-14,-2.77556e-14,0.147396,0.558265,0.281275,8.98034,-2.77556e-14,-2.77556e-14,23.2523,20.4647,17.766,14.4951,10.1615,23.4017,18.4657,11.5256,9.07012,9.44061,6.20508,5.43297,9.41963,7.14284
1991-02-17,56.4304,68.6167,59.3852,66.2845,80.5363,69.3794,48.2691,66.9495,0.000844014,0.143337,0.0567174,0.836462,0.238152,3.02325,0.522448,-2.77556e-14,0.421219,19.1154,14.8094,17.4714,12.7136,11.847,27.022,18.0291,8.59584,8.14825,8.71418,5.05217,2.33022,13.1523,8.99806
1991-02-18,60.59,80.5821,55.2959,63.1605,64.2245,83.6852,46.0528,84.7699,0.723038,0.189504,4.63545,0.0683824,-2.77556e-14,0.0545669,18.2259,0.0831289,3.75219,14.0025,15.8679,18.0757,15.457,10.6396,27.8614,15.6154,7.39486,6.75013,10.538,5.19862,2.01784,16.1527,9.11689
