"TIME";"Date";"Hour";"Irr_vol_m3";"Irr_deficit_m3";"Soil_moisture"
2024-10-24 18:00:00;"2024-10-24";18;3.22381842896886;2.2566729002782;27.39518747673
2024-10-24 19:00:00;"2024-10-24";19;3.28502676001323;2.29951873200926;27.3853172131623
2024-10-24 20:00:00;"2024-10-24";20;3.2850038350461;2.29950268453227;27.3836139461392
2024-10-24 21:00:00;"2024-10-24";21;3.28500635439847;2.29950444807893;27.3838011230428
2024-10-24 22:00:00;"2024-10-24";22;3.28500852001391;2.29950596400974;27.3839620197416
2024-10-24 23:00:00;"2024-10-24";23;3.28501034160506;2.29950723912354;27.3840973574401
2024-10-24 00:00:00;"2024-10-24";0;3.28501182897381;2.29950828028166;27.3842078640511
2024-10-24 01:00:00;"2024-10-24";1;3.28501299200582;2.29950909440407;27.3842942737846
2024-10-25 02:00:00;"2024-10-25";2;3.32420228378461;2.32694159864923;27.3843573267023
2024-10-25 03:00:00;"2024-10-25";3;3.40066814773885;2.38046770341719;27.3694926415536
2024-10-25 04:00:00;"2024-10-25";4;3.55358618902659;2.48751033231861;27.3407679606993
2024-10-25 05:00:00;"2024-10-25";5;3.78289025352435;2.64802317746705;27.297393155097
2024-10-25 06:00:00;"2024-10-25";6;4.10382223053599;2.87267556137519;27.2393697065073
2024-10-25 07:00:00;"2024-10-25";7;4.33293114426854;3.03305180098798;27.1960829398613
2024-10-25 08:00:00;"2024-10-25";8;4.60774991251049;3.22542493875735;27.1440281339449
2024-10-25 09:00:00;"2024-10-25";9;4.86720942369295;3.40704659658507;27.095805836083
2024-10-25 10:00:00;"2024-10-25";10;5.1113086817758;3.57791607724306;27.0503475020395
2024-10-25 11:00:00;"2024-10-25";11;5.34006477724824;3.73804534407377;27.0076518033955
2024-10-25 12:00:00;"2024-10-25";12;5.55349379566693;3.88744565696685;26.9677172759302
2024-10-25 13:00:00;"2024-10-25";13;5.76691669267643;4.0368416848735;26.9305424129966
2024-10-25 14:00:00;"2024-10-25";14;5.96496651721387;4.17547656204971;26.8932835595788
2024-10-25 15:00:00;"2024-10-25";15;6.11723162352283;4.28206213646598;26.8631334333862
2024-10-25 16:00:00;"2024-10-25";16;6.23907013029294;4.36734909120505;26.8411113609001
2024-10-25 17:00:00;"2024-10-25";17;6.33042840204744;4.43129988143321;26.8243853448238
2024-10-25 18:00:00;"2024-10-25";18;6.42173914508488;4.49521740155942;26.806378006608
2024-10-25 19:00:00;"2024-10-25";19;6.46740363871573;4.52718254710101;26.7979067939173
